Pop	Score	Density			
EJUA	1549.317341	9			
EJUA	1723.303609	51			
EJUA	1566.409573	212			
EJUA	1565.225672	11			
EJUA	1459.095451	12			
EJUA	1514.573202	191			
EJUA	1465.010463	604			
EJUA	1528.954977	89			
EJUA	1556.535669	11			
EJUA	1569.296516	31			
EJUA	1522.031765	182			
EJUA	1517.615586	327			
MSA	1830.412098	29			
MSA	1784.226093	6			
MSA	1741.538133	23			
MSA	1835.535107	3			
MSA	1674.458955	27			
MSA	1726.433567	14			
MSA	1693.224667	6			
MSA	1595.511809	1			
MSA	1712.482681	9			
MSA	1741.771051	2			
MSA	1879.261082	2			
MSA	1757.079818	NA			
EJUB	1505.598329	18			
EJUB	1559.234341	2			
EJUB	1519.932502	282			
EJUB	1944.988061	10			
EJUB	1619.68787	40			
EJUB	1518.326246	48			
EJUB	1648.434933	52			
EJUB	1582.953303	4			
EJUB	1568.380074	10			
EJUB	1649.58193	12			
EJUB	1453.816853	1			
EJUB	1504.080639	2			
SLO	1914.791401	13			
SLO	1965.410523	9			
SLO	1872.900939	82			
SLO	2093.9208	4			
SLO	1972.338199	19			
SLO	1941.391686	6			
SLO	1957.928717	34			
SLO	2026.483494	12			
SLO	1957.044345	8			
SLO	1957.440012	183			
SLO	1942.780002	26			
SLO	2014.481404	8			
